Date,Open,High,Low,Close,Adj Close,Volume
2016-08-22,6.878840,7.518070,6.878840,7.498990,7.498990,58440
2016-08-23,7.584850,7.976020,7.584850,7.670720,7.670720,87832
2016-08-24,7.670720,7.727960,7.498990,7.689800,7.689800,44161
2016-08-25,7.775670,7.775670,7.451280,7.603930,7.603930,21363
2016-08-26,7.508530,7.584850,7.374960,7.584850,7.584850,18814
2016-08-29,7.680260,7.680260,7.365420,7.489450,7.489450,24901
2016-08-30,7.470360,7.527610,7.231850,7.355880,7.355880,47691
2016-08-31,7.498990,7.966480,7.298630,7.785210,7.785210,86139
2016-09-01,7.794750,7.794750,7.584850,7.747040,7.747040,17567
2016-09-02,7.747040,7.747040,7.489450,7.670720,7.670720,17950
2016-09-05,7.632560,7.651640,7.394040,7.642100,7.642100,39654
2016-09-06,7.623010,7.890150,7.584850,7.794750,7.794750,40043
2016-09-07,7.823370,7.842450,7.680260,7.823370,7.823370,7680
2016-09-08,7.823370,7.823370,7.422660,7.556230,7.556230,22519
2016-09-09,7.556230,7.613470,7.394040,7.527610,7.527610,11040
2016-09-12,7.498990,7.498990,7.174600,7.298630,7.298630,19577
2016-09-13,7.250930,7.441740,7.250930,7.441740,7.441740,9192
2016-09-14,7.441740,7.680260,7.441740,7.603930,7.603930,23044
2016-09-15,7.632560,7.813830,7.451280,7.642100,7.642100,30723
2016-09-16,7.642100,7.661180,7.441740,7.451280,7.451280,6842
2016-09-19,7.680260,7.718420,7.298630,7.451280,7.451280,26468
2016-09-20,7.451280,7.632560,7.327250,7.346330,7.346330,18961
2016-09-21,7.317710,7.460820,7.241390,7.279550,7.279550,12495
2016-09-22,7.298630,7.355880,7.250930,7.355880,7.355880,7571
2016-09-23,7.355880,7.355880,7.041030,7.270010,7.270010,22299
2016-09-26,7.155520,7.222310,7.021950,7.021950,7.021950,17538
2016-09-27,7.021950,7.107820,6.897920,6.964710,6.964710,11559
2016-09-28,6.878840,7.174600,6.773890,7.041030,7.041030,34458
2016-09-29,7.145980,7.203220,7.079200,7.107820,7.107820,14199
2016-09-30,6.926540,6.993330,6.840680,6.964710,6.964710,13701
